codigo,sigla,nturma,publico,disciplina
1114222,estat,02,5,ESTATISTICA APLICADA
1114222,estat,01,5,ESTATISTICA APLICADA
1307150,ingles,01,oe,INGLÊS
1114129,iprob,05,4,INTRODUCAO A PROBABILIDADE
1114129,iprob,04,4r,INTRODUCAO A PROBABILIDADE
1307332,libras,02,oe,LIBRAS
1307332,libras,04,oe,LIBRAS
1307332,libras,03,oe,LIBRAS
1307332,libras,01,oe,LIBRAS
1307169,port,01,8,LINGUA PORTUGUESA
1307169,port,02,8,LINGUA PORTUGUESA
1307169,port,03,8,LINGUA PORTUGUESA
1307169,port,04,8,LINGUA PORTUGUESA
1303021,econ,02,2r,ECONOMIA
1305219,dc,01,1,DIREITO E CIDADANIA
1109126,c1,01,2,CALCULO DIFERENCIAL E INTEGRAL I
1411312,fmcc2,03,2,FUNDAMENTOS DE MATEMÁTICA PARA CIÊNCIA DA COMPUTAÇÃO II
1411181,lp2,01,2,LABORATORIO DE PROGRAMAÇAO II
1411181,lp2,02,2,LABORATORIO DE PROGRAMAÇAO II
1411171,tc,03,4,TEORIA DA COMPUTAÇAO
1411171,tc,01,4,TEORIA DA COMPUTAÇAO
1411171,tc,02,4,TEORIA DA COMPUTAÇAO
1305219,dc,02,1,DIREITO E CIDADANIA
1305219,dc,03,1,DIREITO E CIDADANIA
1305219,dc,04,1,DIREITO E CIDADANIA
1411167,p1,03,1,PROGRAMAÇAO I
1411167,p1,01,1,PROGRAMAÇAO I
1411167,p1,02,1,PROGRAMAÇAO I
1411185,proj1,02,8,PROJETO EM COMPUTAÇAO I
1411185,proj1,01,8,PROJETO EM COMPUTAÇAO I
1411348,proj2,01,9,PROJETO EM COMPUTAÇAO II
1411392,projso,01,o,PROJETO DE SISTEMAS OPERACIONAIS
1411308,psoft,02,5,
1411308,psoft,01,5,PROJETO DE SOFTWARE
1411378,web2,01,o,PROGRAMAÇAO PARA A WEB II
1411187,atal,02,6,ANALISE E TECNICA DE ALGORITMOS
1411187,atal,01,6,ANALISE E TECNICA DE ALGORITMOS
1109131,c2,01,3,CALCULO DIFERENCIAL E INTEGRAL II
1411160,ip,03,E,
1411307,log,02,3,LOGICA PARA COMPUTAÇAO
1411307,log,01,3,LOGICA PARA COMPUTAÇAO
1411190,rc,02,5,
1411190,rc,01,5,REDES DE COMPUTADORES
1411193,bd1,02,4,BANCO DE DADOS I
1411193,bd1,01,4,BANCO DE DADOS I
1303021,econ,01,2,ECONOMIA
1303021,econ,03,2,
1411312,fmcc2,02,2,FUNDAMENTOS DE MATEMÁTICA PARA CIÊNCIA DA COMPUTAÇÃO II
1411312,fmcc2,01,2,FUNDAMENTOS DE MATEMÁTICA PARA CIÊNCIA DA COMPUTAÇÃO II
1411370,hab1,01,o,HABILIDADES SOCIOEMOCIONAIS
1411371,hab2,01,o,HABILIDADES SOCIOEMOCIONAIS II
1411316,ia,02,5,INTELIGENCIA ARTIFICIAL
1411316,ia,01,5,INTELIGENCIA ARTIFICIAL
1411389,iag,02,o,
1411174,ic,02,1,
1411174,ic,01,1,INTRODUÇAO A COMPUTAÇAO
1411372,ihc,01,o,INTERFACE HUMANO-COMPUTADOR
1411310,oac,01,4,ORGANIZAÇAO E ARQUIT. DE COMPUTADORES
1411168,p2,02,2,PROGRAMAÇAO II
1411168,p2,01,2,PROGRAMAÇAO II
1411343,vv,01,o,VERIFICACAO E VALIDAÇAO DE SOFTWARE
1411321,aa1,01,o,ALGORITMOS AVANCADOS I
1411324,aa4,01,o,ALGORITMOS AVANCADOS IV
1109126,c1,02,2,CALCULO DIFERENCIAL E INTEGRAL I
1411393,devia,01,o,DESENVOLVIMENTO DE SOFTWARE COM AGENTES E IA GENERATIVA
1411328,econti,01,o,ECONOMIA DE TECNOLOGIA DA INFORMAÇAO
1411172,eda,01,3,ESTRUTURAS DE DADOS E ALGORITMOS
1411172,eda,02,3,ESTRUTURAS DE DADOS E ALGORITMOS
1411368,gestao,01,o,GESTAO DE PROJETOS
1411301,gsi,01,E,GESTAO DE SISTEMAS DE INFORMACAO
1411389,iag,01,o,"INTELIGÊNCIA ARTIFICIAL GENERATIVA: FUNDAMENTOS, FERRAMENTAS E APLICAÇÕES"
1411278,ibdmd,01,E,INTRODUÇÃO À BANCO DE DADOS E MINERAÇÃO DE DADOS
1411394,irc,01,o,INTERCONEXAO DE REDES DE COMPUTADORES
1411179,leda,02,3,LAB.DE ESTRUTURAS DE DADOS E ALGORITMOS
1411179,leda,01,3,LAB.DE ESTRUTURAS DE DADOS E ALGORITMOS
1411387,llm,01,o,TECC(MODELOS DE LINGUAGEM DE GRANDE ESCALA)
1411180,lp1,02,1,LABORATORIO DE PROGRAMAÇAO I
1411180,lp1,01,1,LABORATORIO DE PROGRAMAÇAO I
1411374,percep,01,o,PERCEPÇAO COMPUTACIONAL
1411336,progbd,01,o,PROGRAMACAO EM BANCO DE DADOS
1411337,provis,01,o,PROVISIONAMENTO E OPERAÇÃO DE INFRAESTRUTURAS
1411339,recinfo,01,o,RECUP. DE INFORMAÇAO E BUSCA NA WEB
1411340,segsis,01,o,SEGURANÇA DE SISTEMAS
1411161,tp,01,E,TÉCNICAS DE PROGRAMAÇÃO
1411161,tp,02,E,TÉCNICAS DE PROGRAMAÇÃO
1411377,web1,01,o,PROGRAMAÇAO PARA A WEB I
1411075,cn,01,E,CÁLCULO NUMÉRICO
1411075,cn,02,E,CÁLCULO NUMÉRICO
1411075,cn,03,E,CÁLCULO NUMÉRICO
1411001,icc,04,E,INTRODUÇÃO À CIÊNCIA DA COMPUTAÇÃO
1411001,icc,02,E,INTRODUÇÃO À CIÊNCIA DA COMPUTAÇÃO
1411001,icc,03,E,INTRODUÇÃO À CIÊNCIA DA COMPUTAÇÃO
1411001,icc,06,E,INTRODUÇÃO À CIÊNCIA DA COMPUTAÇÃO
1411001,icc,05,E,INTRODUÇÃO À CIÊNCIA DA COMPUTAÇÃO
1411001,icc,01,E,
1411160,ip,02,E,INTRODUÇÃO À PROGRAMAÇÃO
1411160,ip,01,E,INTRODUÇÃO À PROGRAMAÇÃO
1109049,linear,02,3,ALGEBRA LINEAR I
1411383,metc,01,7,METODOLOGIA CIENTIFICA
1411314,es,01,5,ENGENHARIA DE SOFTWARE
1411313,as,01,6,ANALISE DE SISTEMAS
1411189,compil,01,7,COMPILADORES
1411333,ens1,01,o,PRÁTICA DE ENSINO DE COMPUTAÇÃO I
1411334,ens2,01,o,PRATICA DE ENSINO DE COMPUTAÇAO II
1411304,grafos,01,4,TEORIA DOS GRAFOS
1411309,plp,01,4,PARADIGMAS DE LINGUAGEM DE PROGRAMAÇAO
1109131,c2,02,3,CALCULO DIFERENCIAL E INTEGRAL II
1411315,conc,01,6,PROGRAMAÇAO CONCORRENTE
1411311,fmcc1,01,1,FUNDAMENTOS DE MATEMÁTICA PARA CIÊNCIA DA COMPUTAÇÃO I
1109049,linear,01,3,ALGEBRA LINEAR I
1411192,so,01,5,SISTEMAS OPERACIONAIS
